name,scenario,scen_value,rank,metric,base_rank,rank_diff,xval
"BSAIshark, salmonUSRK",cpOFL_9,7.367114483805318,8,meancpOFL,7,1,0.9
BSAIPacific sleeper sharkUSRK,cpOFL_9,7.3143984581571635,9,meancpOFL,9,0,0.9
"GOAoctopus, North PacificOCTP",cpOFL_9,7.220246931683103,10,meancpOFL,11,-1,0.9
"GOArockfish, tigerROCK",cpOFL_9,7.192431891682681,11,meancpOFL,10,1,0.9
"GOArockfish, widowROCK",cpOFL_9,7.065628898849904,12,meancpOFL,12,0,0.9
"GOArockfish, tigerDEM1",cpOFL_9,7.047357306739144,13,meancpOFL,13,0,0.9
"GOArockfish, quillbackROCK",cpOFL_9,6.79117377412539,14,meancpOFL,14,0,0.9
"GOArockfish, canaryDEM1",cpOFL_9,6.6810935931935145,15,meancpOFL,16,-1,0.9
"GOArockfish, chinaROCK",cpOFL_9,6.6360249689367095,16,meancpOFL,15,1,0.9
"GOArockfish, chinaDEM1",cpOFL_9,6.595035467246588,17,meancpOFL,17,0,0.9
"GOArockfish, copperDEM1",cpOFL_9,6.468774496858097,18,meancpOFL,19,-1,0.9
"GOArockfish, copperROCK",cpOFL_9,6.3910662480373475,19,meancpOFL,18,1,0.9
"GOArockfish, yellowtailROCK",cpOFL_9,6.208814697769043,20,meancpOFL,20,0,0.9
"GOArockfish, canaryROCK",cpOFL_9,6.07642870384949,21,meancpOFL,21,0,0.9
"BSAIshark, spiny dogfishUSRK",cpOFL_9,5.904224736728636,22,meancpOFL,22,0,0.9
"GOArockfish, vermilionROCK",cpOFL_9,5.848720133565761,23,meancpOFL,23,0,0.9
"GOArockfish, splitnoseROCK",cpOFL_9,5.740455053707676,24,meancpOFL,24,0,0.9
"GOAgreenling, atka mackerelAMCK",cpOFL_9,5.70609947451791,25,meancpOFL,25,0,0.9
"GOArockfish, darkblotchedROCK",cpOFL_9,5.685827729418149,26,meancpOFL,26,0,0.9
"GOArockfish, blackgillROCK",cpOFL_9,5.597653445168977,27,meancpOFL,27,0,0.9
"GOArockfish, pygmyROCK",cpOFL_9,5.4676885855411745,28,meancpOFL,28,0,0.9
"GOArockfish, greenstripeROCK",cpOFL_9,5.409382790563568,29,meancpOFL,29,0,0.9
"GOArockfish, yellowmouthROCK",cpOFL_9,5.323965930452241,30,meancpOFL,30,0,0.9
"GOArockfish, stripetailROCK",cpOFL_9,4.747194628378259,31,meancpOFL,31,0,0.9
"GOArockfish, bocaccioROCK",cpOFL_9,4.701147790208552,32,meancpOFL,32,0,0.9
"GOArockfish, auroraROCK",cpOFL_9,4.339111822541537,33,meancpOFL,33,0,0.9
"GOArockfish, chilipepperROCK",cpOFL_9,4.057126118147522,34,meancpOFL,34,0,0.9
"GOArockfish, shortbellyROCK",cpOFL_9,3.9035714285714285,35,meancpOFL,35,0,0.9
GOAPacific sleeper sharkUSRK,cpOFL_10,8.75415336274047,1,meancpOFL,1,0,1
"GOArockfish, rosethornDEM1",cpOFL_10,8.184027859097275,2,meancpOFL,2,0,1
"GOAshark, salmonUSRK",cpOFL_10,8.143775666560629,3,meancpOFL,3,0,1
"GOArockfish, yelloweye (red snapper)ROCK",cpOFL_10,8.113012224984779,4,meancpOFL,4,0,1
"GOArockfish, quillbackDEM1",cpOFL_10,8.02118086140556,5,meancpOFL,5,0,1
"GOArockfish, rosethornROCK",cpOFL_10,7.805428827672459,6,meancpOFL,6,0,1
"BSAIshark, salmonUSRK",cpOFL_10,7.425193928436874,7,meancpOFL,7,0,1
"BSAIoctopus, North PacificOCTP",cpOFL_10,7.401454442631566,8,meancpOFL,8,0,1
BSAIPacific sleeper sharkUSRK,cpOFL_10,7.3325606456277175,9,meancpOFL,9,0,1
"GOArockfish, tigerROCK",cpOFL_10,7.261340360746009,10,meancpOFL,10,0,1
"GOAoctopus, North PacificOCTP",cpOFL_10,7.2401154156879315,11,meancpOFL,11,0,1
"GOArockfish, widowROCK",cpOFL_10,7.122820809046867,12,meancpOFL,12,0,1
"GOArockfish, tigerDEM1",cpOFL_10,7.093395889703778,13,meancpOFL,13,0,1
"GOArockfish, quillbackROCK",cpOFL_10,6.89117377412539,14,meancpOFL,14,0,1
"GOArockfish, chinaROCK",cpOFL_10,6.723819465566689,15,meancpOFL,15,0,1
"GOArockfish, canaryDEM1",cpOFL_10,6.694588242902164,16,meancpOFL,16,0,1
"GOArockfish, chinaDEM1",cpOFL_10,6.601534860755679,17,meancpOFL,17,0,1
"GOArockfish, copperROCK",cpOFL_10,6.491066248037347,18,meancpOFL,18,0,1
"GOArockfish, copperDEM1",cpOFL_10,6.470599447877914,19,meancpOFL,19,0,1
"GOArockfish, yellowtailROCK",cpOFL_10,6.233215911998071,20,meancpOFL,20,0,1
"GOArockfish, canaryROCK",cpOFL_10,6.108570602468511,21,meancpOFL,21,0,1
"BSAIshark, spiny dogfishUSRK",cpOFL_10,5.946862839880672,22,meancpOFL,22,0,1
"GOArockfish, vermilionROCK",cpOFL_10,5.875143524428838,23,meancpOFL,23,0,1
"GOArockfish, splitnoseROCK",cpOFL_10,5.752315675427031,24,meancpOFL,24,0,1
"GOAgreenling, atka mackerelAMCK",cpOFL_10,5.722242291041435,25,meancpOFL,25,0,1
"GOArockfish, darkblotchedROCK",cpOFL_10,5.715256365132707,26,meancpOFL,26,0,1
"GOArockfish, blackgillROCK",cpOFL_10,5.608497344391834,27,meancpOFL,27,0,1
"GOArockfish, pygmyROCK",cpOFL_10,5.500073074907841,28,meancpOFL,28,0,1
"GOArockfish, greenstripeROCK",cpOFL_10,5.431163500610627,29,meancpOFL,29,0,1
"GOArockfish, yellowmouthROCK",cpOFL_10,5.333970253553954,30,meancpOFL,30,0,1
"GOArockfish, stripetailROCK",cpOFL_10,4.7580345263112,31,meancpOFL,31,0,1
"GOArockfish, bocaccioROCK",cpOFL_10,4.736328284171514,32,meancpOFL,32,0,1
"GOArockfish, auroraROCK",cpOFL_10,4.349008383341537,33,meancpOFL,33,0,1
"GOArockfish, chilipepperROCK",cpOFL_10,4.065457406347522,34,meancpOFL,34,0,1
"GOArockfish, shortbellyROCK",cpOFL_10,3.9035714285714285,35,meancpOFL,35,0,1
GOAPacific sleeper sharkUSRK,pOBS_0,8.184697756631012,1,mean_pobs_c,1,0,0
"GOArockfish, quillbackDEM1",pOBS_0,7.86044111826444,2,mean_pobs_c,5,-3,0
"GOArockfish, rosethornDEM1",pOBS_0,7.847685955168572,3,mean_pobs_c,2,1,0
"GOAshark, salmonUSRK",pOBS_0,7.630948543205134,4,mean_pobs_c,3,1,0
"GOArockfish, yelloweye (red snapper)ROCK",pOBS_0,7.615344400857129,5,mean_pobs_c,4,1,0
"BSAIoctopus, North PacificOCTP",pOBS_0,7.165697420854053,6,mean_pobs_c,8,-2,0
"GOAoctopus, North PacificOCTP",pOBS_0,7.060307747080031,7,mean_pobs_c,11,-4,0
"GOArockfish, tigerDEM1",pOBS_0,6.959454155360069,8,mean_pobs_c,13,-5,0
"GOArockfish, rosethornROCK",pOBS_0,6.902145833348855,9,mean_pobs_c,6,3,0
"GOArockfish, quillbackROCK",pOBS_0,6.746935130710555,10,mean_pobs_c,14,-4,0
"GOArockfish, tigerROCK",pOBS_0,6.6313217643431,11,mean_pobs_c,10,1,0
"GOArockfish, chinaROCK",pOBS_0,6.5836421618075525,12,mean_pobs_c,15,-3,0
"GOArockfish, canaryDEM1",pOBS_0,6.470663561982594,13,mean_pobs_c,16,-3,0
"GOArockfish, chinaDEM1",pOBS_0,6.46083843470478,14,mean_pobs_c,17,-3,0
"GOArockfish, copperDEM1",pOBS_0,6.441157423097576,15,mean_pobs_c,19,-4,0
"BSAIshark, salmonUSRK",pOBS_0,6.428941903940238,16,mean_pobs_c,7,9,0
"GOArockfish, copperROCK",pOBS_0,6.399537874138255,17,mean_pobs_c,18,-1,0
BSAIPacific sleeper sharkUSRK,pOBS_0,6.360145794516982,18,mean_pobs_c,9,9,0
"GOArockfish, widowROCK",pOBS_0,6.134758649452,19,mean_pobs_c,12,7,0
"GOArockfish, vermilionROCK",pOBS_0,5.807990441589419,20,mean_pobs_c,23,-3,0
"GOArockfish, canaryROCK",pOBS_0,5.722442618704671,21,mean_pobs_c,21,0,0
"GOArockfish, yellowtailROCK",pOBS_0,5.66395925630918,22,mean_pobs_c,20,2,0
"GOArockfish, yellowmouthROCK",pOBS_0,5.301503702303341,23,mean_pobs_c,30,-7,0
"BSAIshark, spiny dogfishUSRK",pOBS_0,5.129904398007858,24,mean_pobs_c,22,2,0
"GOArockfish, greenstripeROCK",pOBS_0,5.069104341516012,25,mean_pobs_c,29,-4,0
"GOArockfish, darkblotchedROCK",pOBS_0,4.9694578674855725,26,mean_pobs_c,26,0,0
"GOAgreenling, atka mackerelAMCK",pOBS_0,4.82292972397455,27,mean_pobs_c,25,2,0
"GOArockfish, splitnoseROCK",pOBS_0,4.768746094228846,28,mean_pobs_c,24,4,0
"GOArockfish, pygmyROCK",pOBS_0,4.750073074907841,29,mean_pobs_c,28,1,0
"GOArockfish, blackgillROCK",pOBS_0,4.608497344391834,30,mean_pobs_c,27,3,0
"GOArockfish, bocaccioROCK",pOBS_0,4.551849954155575,31,mean_pobs_c,32,-1,0
"GOArockfish, auroraROCK",pOBS_0,4.349008383341537,32,mean_pobs_c,33,-1,0
"GOArockfish, stripetailROCK",pOBS_0,4.254716180447124,33,mean_pobs_c,31,2,0
"GOArockfish, chilipepperROCK",pOBS_0,4.065457406347522,34,mean_pobs_c,34,0,0
"GOArockfish, shortbellyROCK",pOBS_0,3.9035714285714285,35,mean_pobs_c,35,0,0
GOAPacific sleeper sharkUSRK,pOBS_1,8.241643317241957,1,mean_pobs_c,1,0,0.1
"GOArockfish, rosethornDEM1",pOBS_1,7.881320145561443,2,mean_pobs_c,2,0,0.1
"GOArockfish, quillbackDEM1",pOBS_1,7.876515092578551,3,mean_pobs_c,5,-2,0.1
"GOAshark, salmonUSRK",pOBS_1,7.6822312555406835,4,mean_pobs_c,3,1,0.1
"GOArockfish, yelloweye (red snapper)ROCK",pOBS_1,7.665111183269894,5,mean_pobs_c,4,1,0.1
"BSAIoctopus, North PacificOCTP",pOBS_1,7.189273123031803,6,mean_pobs_c,8,-2,0.1
"GOAoctopus, North PacificOCTP",pOBS_1,7.078288513940821,7,mean_pobs_c,11,-4,0.1
"GOArockfish, rosethornROCK",pOBS_1,6.992474132781216,8,mean_pobs_c,6,2,0.1
"GOArockfish, tigerDEM1",pOBS_1,6.97284832879444,9,mean_pobs_c,13,-4,0.1
"GOArockfish, quillbackROCK",pOBS_1,6.7613589950520385,10,mean_pobs_c,14,-4,0.1
"GOArockfish, tigerROCK",pOBS_1,6.694323623983391,11,mean_pobs_c,10,1,0.1
"GOArockfish, chinaROCK",pOBS_1,6.597659892183466,12,mean_pobs_c,15,-3,0.1
"BSAIshark, salmonUSRK",pOBS_1,6.528567106389902,13,mean_pobs_c,7,6,0.1
"GOArockfish, canaryDEM1",pOBS_1,6.493056030074551,14,mean_pobs_c,16,-2,0.1
"GOArockfish, chinaDEM1",pOBS_1,6.474908077309869,15,mean_pobs_c,17,-2,0.1
BSAIPacific sleeper sharkUSRK,pOBS_1,6.457387279628056,16,mean_pobs_c,9,7,0.1
"GOArockfish, copperDEM1",pOBS_1,6.44410162557561,17,mean_pobs_c,19,-2,0.1
"GOArockfish, copperROCK",pOBS_1,6.4086907115281635,18,mean_pobs_c,18,0,0.1
"GOArockfish, widowROCK",pOBS_1,6.233564865411487,19,mean_pobs_c,12,7,0.1
"GOArockfish, vermilionROCK",pOBS_1,5.814705749873361,20,mean_pobs_c,23,-3,0.1
"GOArockfish, canaryROCK",pOBS_1,5.761055417081054,21,mean_pobs_c,21,0,0.1
"GOArockfish, yellowtailROCK",pOBS_1,5.72088492187807,22,mean_pobs_c,20,2,0.1
"GOArockfish, yellowmouthROCK",pOBS_1,5.304750357428403,23,mean_pobs_c,30,-7,0.1
"BSAIshark, spiny dogfishUSRK",pOBS_1,5.211600242195139,24,mean_pobs_c,22,2,0.1
"GOArockfish, greenstripeROCK",pOBS_1,5.105310257425473,25,mean_pobs_c,29,-4,0.1
"GOArockfish, darkblotchedROCK",pOBS_1,5.044037717250285,26,mean_pobs_c,26,0,0.1
"GOAgreenling, atka mackerelAMCK",pOBS_1,4.912860980681238,27,mean_pobs_c,25,2,0.1
"GOArockfish, splitnoseROCK",pOBS_1,4.867103052348664,28,mean_pobs_c,24,4,0.1
"GOArockfish, pygmyROCK",pOBS_1,4.825073074907841,29,mean_pobs_c,28,1,0.1
"GOArockfish, blackgillROCK",pOBS_1,4.708497344391834,30,mean_pobs_c,27,3,0.1
"GOArockfish, bocaccioROCK",pOBS_1,4.570297787157169,31,mean_pobs_c,32,-1,0.1
"GOArockfish, auroraROCK",pOBS_1,4.349008383341537,32,mean_pobs_c,33,-1,0.1
"GOArockfish, stripetailROCK",pOBS_1,4.305048015033532,33,mean_pobs_c,31,2,0.1
"GOArockfish, chilipepperROCK",pOBS_1,4.065457406347522,34,mean_pobs_c,34,0,0.1
"GOArockfish, shortbellyROCK",pOBS_1,3.9035714285714285,35,mean_pobs_c,35,0,0.1
GOAPacific sleeper sharkUSRK,pOBS_2,8.298588877852904,1,mean_pobs_c,1,0,0.2
"GOArockfish, rosethornDEM1",pOBS_2,7.914954335954312,2,mean_pobs_c,2,0,0.2
"GOArockfish, quillbackDEM1",pOBS_2,7.892589066892664,3,mean_pobs_c,5,-2,0.2
"GOAshark, salmonUSRK",pOBS_2,7.733513967876234,4,mean_pobs_c,3,1,0.2
"GOArockfish, yelloweye (red snapper)ROCK",pOBS_2,7.71487796568266,5,mean_pobs_c,4,1,0.2
"BSAIoctopus, North PacificOCTP",pOBS_2,7.212848825209555,6,mean_pobs_c,8,-2,0.2
"GOAoctopus, North PacificOCTP",pOBS_2,7.096269280801611,7,mean_pobs_c,11,-4,0.2
"GOArockfish, rosethornROCK",pOBS_2,7.082802432213576,8,mean_pobs_c,6,2,0.2
"GOArockfish, tigerDEM1",pOBS_2,6.98624250222881,9,mean_pobs_c,13,-4,0.2
"GOArockfish, quillbackROCK",pOBS_2,6.775782859393522,10,mean_pobs_c,14,-4,0.2
"GOArockfish, tigerROCK",pOBS_2,6.757325483623681,11,mean_pobs_c,10,1,0.2
"BSAIshark, salmonUSRK",pOBS_2,6.628192308839566,12,mean_pobs_c,7,5,0.2
"GOArockfish, chinaROCK",pOBS_2,6.611677622559379,13,mean_pobs_c,15,-2,0.2
BSAIPacific sleeper sharkUSRK,pOBS_2,6.554628764739129,14,mean_pobs_c,9,5,0.2
"GOArockfish, canaryDEM1",pOBS_2,6.515448498166508,15,mean_pobs_c,16,-1,0.2
"GOArockfish, chinaDEM1",pOBS_2,6.488977719914959,16,mean_pobs_c,17,-1,0.2
"GOArockfish, copperDEM1",pOBS_2,6.447045828053644,17,mean_pobs_c,19,-2,0.2
"GOArockfish, copperROCK",pOBS_2,6.417843548918073,18,mean_pobs_c,18,0,0.2
"GOArockfish, widowROCK",pOBS_2,6.332371081370974,19,mean_pobs_c,12,7,0.2
"GOArockfish, vermilionROCK",pOBS_2,5.821421058157302,20,mean_pobs_c,23,-3,0.2
"GOArockfish, canaryROCK",pOBS_2,5.799668215457438,21,mean_pobs_c,21,0,0.2
"GOArockfish, yellowtailROCK",pOBS_2,5.777810587446959,22,mean_pobs_c,20,2,0.2
"GOArockfish, yellowmouthROCK",pOBS_2,5.3079970125534635,23,mean_pobs_c,30,-7,0.2
"BSAIshark, spiny dogfishUSRK",pOBS_2,5.293296086382421,24,mean_pobs_c,22,2,0.2
"GOArockfish, greenstripeROCK",pOBS_2,5.141516173334935,25,mean_pobs_c,29,-4,0.2
"GOArockfish, darkblotchedROCK",pOBS_2,5.118617567014999,26,mean_pobs_c,26,0,0.2
"GOAgreenling, atka mackerelAMCK",pOBS_2,5.0027922373879266,27,mean_pobs_c,25,2,0.2
"GOArockfish, splitnoseROCK",pOBS_2,4.965460010468483,28,mean_pobs_c,24,4,0.2
"GOArockfish, pygmyROCK",pOBS_2,4.900073074907842,29,mean_pobs_c,28,1,0.2
"GOArockfish, blackgillROCK",pOBS_2,4.808497344391833,30,mean_pobs_c,27,3,0.2
"GOArockfish, bocaccioROCK",pOBS_2,4.588745620158763,31,mean_pobs_c,32,-1,0.2
"GOArockfish, stripetailROCK",pOBS_2,4.35537984961994,32,mean_pobs_c,31,1,0.2
"GOArockfish, auroraROCK",pOBS_2,4.349008383341537,33,mean_pobs_c,33,0,0.2
"GOArockfish, chilipepperROCK",pOBS_2,4.065457406347522,34,mean_pobs_c,34,0,0.2
"GOArockfish, shortbellyROCK",pOBS_2,3.9035714285714285,35,mean_pobs_c,35,0,0.2
GOAPacific sleeper sharkUSRK,pOBS_3,8.355534438463849,1,mean_pobs_c,1,0,0.3
"GOArockfish, rosethornDEM1",pOBS_3,7.948588526347183,2,mean_pobs_c,2,0,0.3
"GOArockfish, quillbackDEM1",pOBS_3,7.9086630412067755,3,mean_pobs_c,5,-2,0.3
"GOAshark, salmonUSRK",pOBS_3,7.784796680211783,4,mean_pobs_c,3,1,0.3
"GOArockfish, yelloweye (red snapper)ROCK",pOBS_3,7.764644748095424,5,mean_pobs_c,4,1,0.3
"BSAIoctopus, North PacificOCTP",pOBS_3,7.236424527387307,6,mean_pobs_c,8,-2,0.3
"GOArockfish, rosethornROCK",pOBS_3,7.173130731645936,7,mean_pobs_c,6,1,0.3
"GOAoctopus, North PacificOCTP",pOBS_3,7.114250047662401,8,mean_pobs_c,11,-3,0.3
"GOArockfish, tigerDEM1",pOBS_3,6.999636675663182,9,mean_pobs_c,13,-4,0.3
"GOArockfish, tigerROCK",pOBS_3,6.820327343263973,10,mean_pobs_c,10,0,0.3
"GOArockfish, quillbackROCK",pOBS_3,6.790206723735006,11,mean_pobs_c,14,-3,0.3
"BSAIshark, salmonUSRK",pOBS_3,6.72781751128923,12,mean_pobs_c,7,5,0.3
BSAIPacific sleeper sharkUSRK,pOBS_3,6.6518702498502025,13,mean_pobs_c,9,4,0.3
"GOArockfish, chinaROCK",pOBS_3,6.625695352935293,14,mean_pobs_c,15,-1,0.3
"GOArockfish, canaryDEM1",pOBS_3,6.5378409662584644,15,mean_pobs_c,16,-1,0.3
"GOArockfish, chinaDEM1",pOBS_3,6.503047362520049,16,mean_pobs_c,17,-1,0.3
"GOArockfish, copperDEM1",pOBS_3,6.449990030531677,17,mean_pobs_c,19,-2,0.3
"GOArockfish, widowROCK",pOBS_3,6.431177297330461,18,mean_pobs_c,12,6,0.3
"GOArockfish, copperROCK",pOBS_3,6.426996386307982,19,mean_pobs_c,18,1,0.3
"GOArockfish, canaryROCK",pOBS_3,5.838281013833822,20,mean_pobs_c,21,-1,0.3
"GOArockfish, yellowtailROCK",pOBS_3,5.834736253015848,21,mean_pobs_c,20,1,0.3
"GOArockfish, vermilionROCK",pOBS_3,5.828136366441244,22,mean_pobs_c,23,-1,0.3
"BSAIshark, spiny dogfishUSRK",pOBS_3,5.374991930569702,23,mean_pobs_c,22,1,0.3
"GOArockfish, yellowmouthROCK",pOBS_3,5.311243667678525,24,mean_pobs_c,30,-6,0.3
"GOArockfish, darkblotchedROCK",pOBS_3,5.193197416779713,25,mean_pobs_c,26,-1,0.3
"GOArockfish, greenstripeROCK",pOBS_3,5.177722089244397,26,mean_pobs_c,29,-3,0.3
"GOAgreenling, atka mackerelAMCK",pOBS_3,5.092723494094615,27,mean_pobs_c,25,2,0.3
"GOArockfish, splitnoseROCK",pOBS_3,5.063816968588301,28,mean_pobs_c,24,4,0.3
"GOArockfish, pygmyROCK",pOBS_3,4.975073074907842,29,mean_pobs_c,28,1,0.3
"GOArockfish, blackgillROCK",pOBS_3,4.908497344391834,30,mean_pobs_c,27,3,0.3
"GOArockfish, bocaccioROCK",pOBS_3,4.607193453160357,31,mean_pobs_c,32,-1,0.3
"GOArockfish, stripetailROCK",pOBS_3,4.405711684206347,32,mean_pobs_c,31,1,0.3
"GOArockfish, auroraROCK",pOBS_3,4.349008383341537,33,mean_pobs_c,33,0,0.3
"GOArockfish, chilipepperROCK",pOBS_3,4.065457406347522,34,mean_pobs_c,34,0,0.3
"GOArockfish, shortbellyROCK",pOBS_3,3.9035714285714285,35,mean_pobs_c,35,0,0.3
GOAPacific sleeper sharkUSRK,pOBS_4,8.412479999074796,1,mean_pobs_c,1,0,0.4
"GOArockfish, rosethornDEM1",pOBS_4,7.982222716740053,2,mean_pobs_c,2,0,0.4
"GOArockfish, quillbackDEM1",pOBS_4,7.924737015520888,3,mean_pobs_c,5,-2,0.4
"GOAshark, salmonUSRK",pOBS_4,7.836079392547332,4,mean_pobs_c,3,1,0.4
"GOArockfish, yelloweye (red snapper)ROCK",pOBS_4,7.814411530508189,5,mean_pobs_c,4,1,0.4
"GOArockfish, rosethornROCK",pOBS_4,7.2634590310782965,6,mean_pobs_c,6,0,0.4
"BSAIoctopus, North PacificOCTP",pOBS_4,7.260000229565058,7,mean_pobs_c,8,-1,0.4
"GOAoctopus, North PacificOCTP",pOBS_4,7.132230814523191,8,mean_pobs_c,11,-3,0.4
"GOArockfish, tigerDEM1",pOBS_4,7.013030849097553,9,mean_pobs_c,13,-4,0.4
"GOArockfish, tigerROCK",pOBS_4,6.883329202904263,10,mean_pobs_c,10,0,0.4
"BSAIshark, salmonUSRK",pOBS_4,6.8274427137388924,11,mean_pobs_c,7,4,0.4
"GOArockfish, quillbackROCK",pOBS_4,6.804630588076489,12,mean_pobs_c,14,-2,0.4
BSAIPacific sleeper sharkUSRK,pOBS_4,6.749111734961276,13,mean_pobs_c,9,4,0.4
"GOArockfish, chinaROCK",pOBS_4,6.639713083311207,14,mean_pobs_c,15,-1,0.4
"GOArockfish, canaryDEM1",pOBS_4,6.560233434350422,15,mean_pobs_c,16,-1,0.4
"GOArockfish, widowROCK",pOBS_4,6.529983513289947,16,mean_pobs_c,12,4,0.4
"GOArockfish, chinaDEM1",pOBS_4,6.517117005125139,17,mean_pobs_c,17,0,0.4
"GOArockfish, copperDEM1",pOBS_4,6.452934233009711,18,mean_pobs_c,19,-1,0.4
"GOArockfish, copperROCK",pOBS_4,6.436149223697892,19,mean_pobs_c,18,1,0.4
"GOArockfish, yellowtailROCK",pOBS_4,5.891661918584737,20,mean_pobs_c,20,0,0.4
"GOArockfish, canaryROCK",pOBS_4,5.876893812210207,21,mean_pobs_c,21,0,0.4
"GOArockfish, vermilionROCK",pOBS_4,5.834851674725186,22,mean_pobs_c,23,-1,0.4
"BSAIshark, spiny dogfishUSRK",pOBS_4,5.4566877747569835,23,mean_pobs_c,22,1,0.4
"GOArockfish, yellowmouthROCK",pOBS_4,5.314490322803587,24,mean_pobs_c,30,-6,0.4
"GOArockfish, darkblotchedROCK",pOBS_4,5.267777266544426,25,mean_pobs_c,26,-1,0.4
"GOArockfish, greenstripeROCK",pOBS_4,5.213928005153858,26,mean_pobs_c,29,-3,0.4
"GOAgreenling, atka mackerelAMCK",pOBS_4,5.182654750801303,27,mean_pobs_c,25,2,0.4
"GOArockfish, splitnoseROCK",pOBS_4,5.16217392670812,28,mean_pobs_c,24,4,0.4
"GOArockfish, pygmyROCK",pOBS_4,5.050073074907841,29,mean_pobs_c,28,1,0.4
"GOArockfish, blackgillROCK",pOBS_4,5.0084973443918335,30,mean_pobs_c,27,3,0.4
"GOArockfish, bocaccioROCK",pOBS_4,4.625641286161951,31,mean_pobs_c,32,-1,0.4
"GOArockfish, stripetailROCK",pOBS_4,4.456043518792755,32,mean_pobs_c,31,1,0.4
"GOArockfish, auroraROCK",pOBS_4,4.349008383341537,33,mean_pobs_c,33,0,0.4
"GOArockfish, chilipepperROCK",pOBS_4,4.065457406347522,34,mean_pobs_c,34,0,0.4
"GOArockfish, shortbellyROCK",pOBS_4,3.9035714285714285,35,mean_pobs_c,35,0,0.4
GOAPacific sleeper sharkUSRK,pOBS_5,8.46942555968574,1,mean_pobs_c,1,0,0.5
"GOArockfish, rosethornDEM1",pOBS_5,8.015856907132925,2,mean_pobs_c,2,0,0.5
"GOArockfish, quillbackDEM1",pOBS_5,7.940810989835,3,mean_pobs_c,5,-2,0.5
"GOAshark, salmonUSRK",pOBS_5,7.8873621048828815,4,mean_pobs_c,3,1,0.5
"GOArockfish, yelloweye (red snapper)ROCK",pOBS_5,7.864178312920954,5,mean_pobs_c,4,1,0.5
"GOArockfish, rosethornROCK",pOBS_5,7.353787330510657,6,mean_pobs_c,6,0,0.5
"BSAIoctopus, North PacificOCTP",pOBS_5,7.283575931742809,7,mean_pobs_c,8,-1,0.5
"GOAoctopus, North PacificOCTP",pOBS_5,7.1502115813839815,8,mean_pobs_c,11,-3,0.5
"GOArockfish, tigerDEM1",pOBS_5,7.026425022531924,9,mean_pobs_c,13,-4,0.5
"GOArockfish, tigerROCK",pOBS_5,6.946331062544554,10,mean_pobs_c,10,0,0.5
"BSAIshark, salmonUSRK",pOBS_5,6.927067916188556,11,mean_pobs_c,7,4,0.5
BSAIPacific sleeper sharkUSRK,pOBS_5,6.84635322007235,12,mean_pobs_c,9,3,0.5
"GOArockfish, quillbackROCK",pOBS_5,6.819054452417973,13,mean_pobs_c,14,-1,0.5
"GOArockfish, chinaROCK",pOBS_5,6.653730813687121,14,mean_pobs_c,15,-1,0.5
"GOArockfish, widowROCK",pOBS_5,6.6287897292494335,15,mean_pobs_c,12,3,0.5
"GOArockfish, canaryDEM1",pOBS_5,6.582625902442379,16,mean_pobs_c,16,0,0.5
"GOArockfish, chinaDEM1",pOBS_5,6.531186647730229,17,mean_pobs_c,17,0,0.5
"GOArockfish, copperDEM1",pOBS_5,6.455878435487746,18,mean_pobs_c,19,-1,0.5
"GOArockfish, copperROCK",pOBS_5,6.4453020610878005,19,mean_pobs_c,18,1,0.5
"GOArockfish, yellowtailROCK",pOBS_5,5.948587584153626,20,mean_pobs_c,20,0,0.5
"GOArockfish, canaryROCK",pOBS_5,5.915506610586591,21,mean_pobs_c,21,0,0.5
"GOArockfish, vermilionROCK",pOBS_5,5.841566983009129,22,mean_pobs_c,23,-1,0.5
"BSAIshark, spiny dogfishUSRK",pOBS_5,5.538383618944264,23,mean_pobs_c,22,1,0.5
"GOArockfish, darkblotchedROCK",pOBS_5,5.34235711630914,24,mean_pobs_c,26,-2,0.5
"GOArockfish, yellowmouthROCK",pOBS_5,5.317736977928647,25,mean_pobs_c,30,-5,0.5
"GOAgreenling, atka mackerelAMCK",pOBS_5,5.272586007507992,26,mean_pobs_c,25,1,0.5
"GOArockfish, splitnoseROCK",pOBS_5,5.260530884827938,27,mean_pobs_c,24,3,0.5
"GOArockfish, greenstripeROCK",pOBS_5,5.25013392106332,28,mean_pobs_c,29,-1,0.5
"GOArockfish, pygmyROCK",pOBS_5,5.125073074907841,29,mean_pobs_c,28,1,0.5
"GOArockfish, blackgillROCK",pOBS_5,5.108497344391834,30,mean_pobs_c,27,3,0.5
"GOArockfish, bocaccioROCK",pOBS_5,4.644089119163545,31,mean_pobs_c,32,-1,0.5
"GOArockfish, stripetailROCK",pOBS_5,4.506375353379163,32,mean_pobs_c,31,1,0.5
"GOArockfish, auroraROCK",pOBS_5,4.349008383341537,33,mean_pobs_c,33,0,0.5
"GOArockfish, chilipepperROCK",pOBS_5,4.065457406347522,34,mean_pobs_c,34,0,0.5
"GOArockfish, shortbellyROCK",pOBS_5,3.9035714285714285,35,mean_pobs_c,35,0,0.5
GOAPacific sleeper sharkUSRK,pOBS_6,8.526371120296687,1,mean_pobs_c,1,0,0.6
"GOArockfish, rosethornDEM1",pOBS_6,8.049491097525795,2,mean_pobs_c,2,0,0.6
"GOArockfish, quillbackDEM1",pOBS_6,7.956884964149112,3,mean_pobs_c,5,-2,0.6
