name,scenario,scen_value,rank,metric,base_rank,rank_diff,xval
"GOArockfish, darkblotchedROCK",drate_1,5.275373565848609,27,mean_drate,26,1,0.1
"GOArockfish, pygmyROCK",drate_1,5.12290078467195,28,mean_drate,28,0,0.1
"BSAIshark, spiny dogfishUSRK",drate_1,5.107638159207201,29,mean_drate,22,7,0.1
"GOArockfish, greenstripeROCK",drate_1,4.819307206186829,30,mean_drate,29,1,0.1
"GOArockfish, stripetailROCK",drate_1,4.755048015033532,31,mean_drate,31,0,0.1
"GOArockfish, bocaccioROCK",drate_1,4.736328284171514,32,mean_drate,32,0,0.1
"GOArockfish, auroraROCK",drate_1,4.349008383341537,33,mean_drate,33,0,0.1
"GOArockfish, chilipepperROCK",drate_1,4.065457406347522,34,mean_drate,34,0,0.1
"GOArockfish, shortbellyROCK",drate_1,3.9035714285714285,35,mean_drate,35,0,0.1
GOAPacific sleeper sharkUSRK,drate_2,7.961000924523471,1,mean_drate,1,0,0.2
"GOArockfish, quillbackDEM1",drate_2,7.8456490802557175,2,mean_drate,5,-3,0.2
"GOArockfish, yelloweye (red snapper)ROCK",drate_2,7.827177659707485,3,mean_drate,4,-1,0.2
"GOArockfish, rosethornDEM1",drate_2,7.703122424286957,4,mean_drate,2,2,0.2
"GOAshark, salmonUSRK",drate_2,7.4073523971518584,5,mean_drate,3,2,0.2
"GOArockfish, rosethornROCK",drate_2,7.2502688690074315,6,mean_drate,6,0,0.2
"GOArockfish, widowROCK",drate_2,6.896008291349524,7,mean_drate,12,-5,0.2
"GOArockfish, tigerDEM1",drate_2,6.8843604014837965,8,mean_drate,13,-5,0.2
"GOAoctopus, North PacificOCTP",drate_2,6.853674232919684,9,mean_drate,11,-2,0.2
"BSAIoctopus, North PacificOCTP",drate_2,6.84096992652232,10,mean_drate,8,2,0.2
"GOArockfish, tigerROCK",drate_2,6.6967338493242625,11,mean_drate,10,1,0.2
"BSAIshark, salmonUSRK",drate_2,6.655463994388004,12,mean_drate,7,5,0.2
"GOArockfish, canaryDEM1",drate_2,6.611452717437601,13,mean_drate,16,-3,0.2
BSAIPacific sleeper sharkUSRK,drate_2,6.610384174033787,14,mean_drate,9,5,0.2
"GOArockfish, quillbackROCK",drate_2,6.531002092647422,15,mean_drate,14,1,0.2
"GOArockfish, chinaDEM1",drate_2,6.524875622603521,16,mean_drate,17,-1,0.2
"GOArockfish, copperROCK",drate_2,6.420030557730315,17,mean_drate,18,-1,0.2
"GOArockfish, chinaROCK",drate_2,6.396536584968013,18,mean_drate,15,3,0.2
"GOArockfish, copperDEM1",drate_2,6.389666003681431,19,mean_drate,19,0,0.2
"GOArockfish, yellowtailROCK",drate_2,6.1500192221795045,20,mean_drate,20,0,0.2
"GOArockfish, canaryROCK",drate_2,5.962213463542437,21,mean_drate,21,0,0.2
"GOArockfish, vermilionROCK",drate_2,5.625939278418765,22,mean_drate,23,-1,0.2
"GOAgreenling, atka mackerelAMCK",drate_2,5.618755329764273,23,mean_drate,25,-2,0.2
"GOArockfish, blackgillROCK",drate_2,5.608497344391834,24,mean_drate,27,-3,0.2
"GOArockfish, splitnoseROCK",drate_2,5.352575893879939,25,mean_drate,24,1,0.2
"GOArockfish, yellowmouthROCK",drate_2,5.333970253553954,26,mean_drate,30,-4,0.2
"GOArockfish, darkblotchedROCK",drate_2,5.324249432435731,27,mean_drate,26,1,0.2
"BSAIshark, spiny dogfishUSRK",drate_2,5.200885345948698,28,mean_drate,22,6,0.2
"GOArockfish, pygmyROCK",drate_2,5.164808816920383,29,mean_drate,28,1,0.2
"GOArockfish, greenstripeROCK",drate_2,4.887291238900584,30,mean_drate,29,1,0.2
"GOArockfish, stripetailROCK",drate_2,4.755379849619939,31,mean_drate,31,0,0.2
"GOArockfish, bocaccioROCK",drate_2,4.736328284171514,32,mean_drate,32,0,0.2
"GOArockfish, auroraROCK",drate_2,4.349008383341537,33,mean_drate,33,0,0.2
"GOArockfish, chilipepperROCK",drate_2,4.065457406347522,34,mean_drate,34,0,0.2
"GOArockfish, shortbellyROCK",drate_2,3.9035714285714285,35,mean_drate,35,0,0.2
GOAPacific sleeper sharkUSRK,drate_3,8.060144979300595,1,mean_drate,1,0,0.3
"GOArockfish, quillbackDEM1",drate_3,7.867590552899448,2,mean_drate,5,-3,0.3
"GOArockfish, yelloweye (red snapper)ROCK",drate_3,7.862906980367146,3,mean_drate,4,-1,0.3
"GOArockfish, rosethornDEM1",drate_3,7.763235603638247,4,mean_drate,2,2,0.3
"GOAshark, salmonUSRK",drate_3,7.499405305827954,5,mean_drate,3,2,0.3
"GOArockfish, rosethornROCK",drate_3,7.31966386384056,6,mean_drate,6,0,0.3
"GOArockfish, widowROCK",drate_3,6.924359856061692,7,mean_drate,12,-5,0.3
"BSAIoctopus, North PacificOCTP",drate_3,6.911030491035976,8,mean_drate,8,0,0.3
"GOArockfish, tigerDEM1",drate_3,6.910489837511294,9,mean_drate,13,-4,0.3
"GOAoctopus, North PacificOCTP",drate_3,6.901979380765716,10,mean_drate,11,-1,0.3
"GOArockfish, tigerROCK",drate_3,6.7673096632519805,11,mean_drate,10,1,0.3
"BSAIshark, salmonUSRK",drate_3,6.751680236144113,12,mean_drate,7,5,0.3
BSAIPacific sleeper sharkUSRK,drate_3,6.700656232983029,13,mean_drate,9,4,0.3
"GOArockfish, canaryDEM1",drate_3,6.621844658120671,14,mean_drate,16,-2,0.3
"GOArockfish, quillbackROCK",drate_3,6.576023552832169,15,mean_drate,14,1,0.3
"GOArockfish, chinaDEM1",drate_3,6.5344580273725414,16,mean_drate,17,-1,0.3
"GOArockfish, chinaROCK",drate_3,6.437446945042848,17,mean_drate,15,2,0.3
"GOArockfish, copperROCK",drate_3,6.428910019018694,18,mean_drate,18,0,0.3
"GOArockfish, copperDEM1",drate_3,6.3997826842059915,19,mean_drate,19,0,0.3
"GOArockfish, yellowtailROCK",drate_3,6.160418808406826,20,mean_drate,20,0,0.3
"GOArockfish, canaryROCK",drate_3,5.980508105908196,21,mean_drate,21,0,0.3
"GOArockfish, vermilionROCK",drate_3,5.657089809170024,22,mean_drate,23,-1,0.3
"GOAgreenling, atka mackerelAMCK",drate_3,5.631691199923918,23,mean_drate,25,-2,0.3
"GOArockfish, blackgillROCK",drate_3,5.608497344391834,24,mean_drate,27,-3,0.3
"GOArockfish, splitnoseROCK",drate_3,5.402543366573325,25,mean_drate,24,1,0.3
"GOArockfish, darkblotchedROCK",drate_3,5.373125299022853,26,mean_drate,26,0,0.3
"GOArockfish, yellowmouthROCK",drate_3,5.333970253553954,27,mean_drate,30,-3,0.3
"BSAIshark, spiny dogfishUSRK",drate_3,5.2941325326901945,28,mean_drate,22,6,0.3
"GOArockfish, pygmyROCK",drate_3,5.2067168491688145,29,mean_drate,28,1,0.3
