fmp_area,agency_species_code,species_name,species_group_code,mean_drate,cv_drate,mean_ntrip,cv_ntrip,max_ntrip,min_ntrip,meanpOFL,meancpOFL,mean_pobs_c,cv_pobs_c,cycle_yrs,dominance,T6_HCR_data,PSA_new,edge_dist,marketable,Tier_jump,complex,multi_tier,complex_lrg,Inflat_spec
GOA,179,"rockfish, pygmy",ROCK,0.41908032248432364,1.414213562373095,2,0.408248290463863,3,1,5.001613993897447e-6,0.3238448936666667,0.75,0.6666666666666666,2,no,no,1.42,yes,no,no,yes,yes,yes,no
GOA,182,"rockfish, splitnose",ROCK,0.4996747269338652,1.4142135623730951,2.8,0.6388765649999399,5,1,4.6515010143246253e-4,0.11860621719354837,0.9835695811981849,0.03698463067304377,2,no,no,1.82,yes,no,no,yes,yes,yes,no
GOA,183,"rockfish, stripetail",ROCK,0.0033183458640758624,1.4142135623730951,2,0.7071067811865476,3,1,1.41712396493761e-4,0.10839897932941177,0.5033183458640759,1.3955659221104924,2,no,no,1.8,yes,no,no,yes,yes,yes,no
GOA,184,"rockfish, vermilion",ROCK,0.3115053075125911,1.5072382113294562,13.777777777777779,1.12369851876836,44,3,1.0836830320111136e-4,0.2642339086307692,0.06715308283941952,1.5268795938633224,2,no,no,2.05,yes,yes,no,yes,yes,yes,no
GOA,185,"rockfish, aurora",ROCK,0,0,1,0,1,1,4.2775341536521215e-5,0.09896560800000001,0,0,2,no,no,2.1,yes,no,no,yes,yes,yes,no
GOA,193,"greenling, atka mackerel",AMCK,0.1293587015964521,0.7918717446616567,642.3,1.0665125540482632,2359,103,1,0.16142816523524034,0.8993125670668851,0.14990597221132435,4,yes,yes,1.49,yes,yes,no,no,no,no,no
GOA,690,"shark, salmon",USRK,0.9205290867609641,0.09537150372235671,410,0.44605926482638814,676,197,0.010419456444170194,1,0.5128271233554953,0.6470913946233333,4,no,no,1.96,no,no,no,yes,yes,yes,yes
GOA,692,Pacific sleeper shark,USRK,0.9914405477712479,0.014357320871522786,746.8,0.32774215252641337,1240,465,0.04632938195216749,0.34692782690759616,0.5694556061094579,0.33346129045298345,4,yes,no,2.24,no,no,no,yes,yes,yes,yes
GOA,870,"octopus, North Pacific",OCTP,0.48305147846030894,0.3867841777119344,2462.6,0.3677147095690189,3919,1219,1,0.19868484004829326,0.1798076686079007,0.43943562274348863,4,yes,no,1.06,no,yes,no,yes,no,yes,no
GOA,181,"rockfish, shortbelly",ROCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,no,no,1.13,yes,no,no,yes,yes,yes,no
